,simm_ABAD_pos,simm_ABAD_neg,simm_LAR_pos,simm_LAR_neg,simm_FLEX_pos,simm_FLEX_neg,maya_ABAD_pos,maya_ABAD_neg,maya_LAR_pos,maya_LAR_neg,maya_FLEX_pos,maya_FLEX_neg
44L_13_139,0.0,-2.38726,0.0,-0.80793,14.5338,0.0,0.0,-0.7886530459000001,0.0,-2.046227306,14.49813247,0.0
44L_13_140,0.0,-2.36895,0.0,-0.7718,14.5167,0.0,0.0,-0.8234391361,0.0,-2.029221058,14.50953245,0.0
44L_13_141,0.0,-2.34552,0.0,-0.73463,14.5023,0.0,0.0,-0.8618156612,0.0,-2.017608881,14.51470494,0.0
44L_13_142,0.0,-2.32209,0.0,-0.7012,14.491,0.0,0.0,-0.8971340209,0.0,-2.009503096,14.51402307,0.0
44L_13_143,0.0,-2.3037,0.0,-0.67472,14.4826,0.0,0.0,-0.9228406847,0.0,-2.000346333,14.51208711,0.0
44L_13_144,0.0,-2.29373,0.0,-0.6566,14.4768,0.0,0.0,-0.9339605272,0.0,-1.985957325,14.51434016,0.0
44L_13_145,0.0,-2.29319,0.0,-0.64682,14.4734,0.0,0.0,-0.9284219891,0.0,-1.964910328,14.523202180000002,0.0
44L_13_146,0.0,-2.3006,0.0,-0.64443,14.4731,0.0,0.0,-0.9079848975,0.0,-1.939002424,14.53590631,0.0
44L_13_147,0.0,-2.3122,0.0,-0.64807,14.4767,0.0,0.0,-0.8786789328,0.0,-1.912568361,14.5449996,0.0
44L_13_148,0.0,-2.32251,0.0,-0.65651,14.4854,0.0,0.0,-0.8504463732,0.0,-1.89186573,14.54129338,0.0
44L_13_149,0.0,-2.32584,0.0,-0.66908,14.5002,0.0,0.0,-0.8355043083,0.0,-1.884491295,14.51800108,0.0
44L_13_150,0.0,-2.31875,0.0,-0.6859,14.5213,0.0,0.0,-0.845374614,0.0,-1.897778958,14.4741261,0.0
44L_13_151,0.0,-2.30273,0.0,-0.7076,14.5475,0.0,0.0,-0.8875413984,0.0,-1.935673505,14.41527963,0.0
44L_13_152,0.0,-2.28562,0.0,-0.73467,14.5758,0.0,0.0,-0.9635206312,0.0,-1.995140761,14.351340530000002,0.0
44L_13_153,0.0,-2.28099,0.0,-0.767,14.601,0.0,0.0,-1.069838554,0.0,-2.06431672,14.29211378,0.0
44L_13_154,0.0,-2.30529,0.0,-0.80389,14.6175,0.0,0.0,-1.201814935,0.0,-2.124413699,14.243202210000002,0.0
44L_13_155,0.0,-2.3734,0.0,-0.84481,14.6194,0.0,0.0,-1.358104497,0.0,-2.156018764,14.20361876,0.0
44L_13_156,0.0,-2.49358,0.0,-0.88999,14.6024,0.0,0.0,-1.543317437,0.0,-2.148467153,14.16465521,0.0
44L_13_157,0.0,-2.66302,0.0,-0.93975,14.5649,0.0,0.0,-1.7673495410000002,0.0,-2.108968347,14.10884142,0.0
44L_13_158,0.0,-2.86613,0.0,-0.99259,14.5108,0.0,0.0,-2.041988522,0.0,-2.066533715,14.01030898,0.0
44L_13_159,0.0,-3.07754,0.0,-1.04309,14.4507,0.0,0.0,-2.376347035,0.0,-2.065716535,13.84099483,0.0
44L_13_160,0.0,-3.27085,0.0,-1.08194,14.3995,0.0,0.0,-2.772835493,0.0,-2.14862287,13.58504534,0.0
44L_13_161,0.0,-3.43137,0.0,-1.09886,14.3685,0.0,0.0,-3.2253506780000003,0.0,-2.330765277,13.25506449,0.0
44L_13_162,0.0,-3.56737,0.0,-1.08631,14.3558,0.0,0.0,-3.720598519,0.0,-2.582779527,12.8964901,0.0
44L_13_163,0.0,-3.71439,0.0,-1.04094,14.3399,0.0,0.0,-4.241941571,0.0,-2.829470932,12.57077932,0.0
44L_13_164,0.0,-3.92842,0.0,-0.96188,14.2825,0.0,0.0,-4.774453342,0.0,-2.970162928,12.32316494,0.0
44L_13_165,0.0,-4.26912,0.0,-0.85041,14.1346,0.0,0.0,-5.310819745000001,0.0,-2.917333841,12.15293646,0.0
44L_13_166,0.0,-4.77779,0.0,-0.71521,13.8452,0.0,0.0,-5.858098865,0.0,-2.645699382,12.00377941,0.0
44L_13_167,0.0,-5.45659,0.0,-0.57981,13.371,0.0,0.0,-6.442103982000001,0.0,-2.233005017,11.78046465,0.0
44L_13_168,0.0,-6.25771,0.0,-0.48087,12.6978,0.0,0.0,-7.101727724,0.0,-1.859333515,11.38516665,0.0
44L_13_169,0.0,-7.0956,0.0,-0.45027,11.8642,0.0,0.0,-7.868952155,0.0,-1.738591343,10.7603538,0.0
44L_13_170,0.0,-7.88504,0.0,-0.49293,10.9565,0.0,0.0,-8.744269013,0.0,-2.001481205,9.922804832,0.0
44L_13_171,0.0,-8.57987,0.0,-0.5827,10.0673,0.0,0.0,-9.686040282,0.0,-2.604352236,8.968669176,0.0
44L_13_172,0.0,-9.18006,0.0,-0.68162,9.2521,0.0,0.0,-10.62185526,0.0,-3.339807689,8.035969734,0.0
44L_13_173,0.0,-9.70565,0.0,-0.76458,8.521,0.0,0.0,-11.4731741,0.0,-3.95175755,7.241029739,0.0
44L_13_174,0.0,-10.1658,0.0,-0.83121,7.8615,0.0,0.0,-12.18083501,0.0,-4.274030328,6.63187325,0.0
44L_13_175,0.0,-10.54934,0.0,-0.90123,7.2646,0.0,0.0,-12.72247672,0.0,-4.298471808,6.188815236,0.0
44L_13_176,0.0,-10.83918,0.0,-1.00085,6.7322,0.0,0.0,-13.11348677,0.0,-4.141639471,5.860751867,0.0
44L_13_177,0.0,-11.03118,0.0,-1.14988,6.2687,0.0,0.0,-13.38988304,0.0,-3.954808712,5.600723028,0.0
44L_13_178,0.0,-11.13949,0.0,-1.35561,5.8704,0.0,0.0,-13.5861361,0.0,-3.846889734,5.3791606430000005,0.0
44L_13_179,0.0,-11.18749,0.0,-1.61306,5.5259,0.0,0.0,-13.72438669,0.0,-3.856903613,5.182131529,0.0
44L_13_180,0.0,-11.19616,0.0,-1.90794,5.2263,0.0,0.0,-13.81752491,0.0,-3.966718316,5.008901954000001,0.0
44L_13_181,0.0,-11.17864,0.0,-2.21915,4.973,0.0,0.0,-13.87551665,0.0,-4.126929343,4.870724082,0.0
44L_13_182,0.0,-11.1408,0.0,-2.52102,4.7781,0.0,0.0,-13.90620351,0.0,-4.278881252000001,4.785503149,0.0
44L_13_183,0.0,-11.08358,0.0,-2.78633,4.6563,0.0,0.0,-13.91132236,0.0,-4.370419383,4.767413735,0.0
44L_13_184,0.0,-11.0045,0.0,-2.99115,4.6154,0.0,0.0,-13.88407826,0.0,-4.366947114,4.816262721999999,0.0
44L_13_185,0.0,-10.89926,0.0,-3.12053,4.6492,0.0,0.0,-13.81317258,0.0,-4.256036878,4.912688136,0.0
44L_13_186,0.0,-10.76495,0.0,-3.17322,4.7356,0.0,0.0,-13.6923039,0.0,-4.044526219,5.023022294,0.0
44L_13_187,0.0,-10.60357,0.0,-3.16348,4.843,0.0,0.0,-13.52835655,0.0,-3.75287801,5.112797022,0.0
44L_13_188,0.0,-10.42289,0.0,-3.11836,4.9432,0.0,0.0,-13.34164739,0.0,-3.4121245150000004,5.162226558,0.0
44L_13_189,0.0,-10.2341,0.0,-3.07065,5.0233,0.0,0.0,-13.15797687,0.0,-3.061774075,5.174776912,0.0
44L_13_190,0.0,-10.04809,0.0,-3.04943,5.0887,0.0,0.0,-12.99787879,0.0,-2.7436232570000003,5.173755884,0.0
44L_13_191,0.0,-9.87256,0.0,-3.07181,5.1562,0.0,0.0,-12.8689611,0.0,-2.491268814,5.189417601000001,0.0
44L_13_192,0.0,-9.71095,0.0,-3.13883,5.2425,0.0,0.0,-12.76483059,0.0,-2.320395559,5.244330167999999,0.0
44L_13_193,0.0,-9.56298,0.0,-3.23674,5.3556,0.0,0.0,-12.67068624,0.0,-2.224776894,5.34409523,0.0
44L_13_194,0.0,-9.42658,0.0,-3.34301,5.492,0.0,0.0,-12.57223368,0.0,-2.180024683,5.476422906,0.0
